last_name, first_name,player_id,year,b_home_run,b_k_percent,batting_avg,slg_percent,on_base_percent,
Martinez, Victor,400121,2018,9,9.6,.251,.353,.297,
Mauer, Joe,408045,2018,6,15.8,.282,.379,.350,
Molina, Yadier,425877,2018,20,13.1,.261,.436,.314,
Jones, Adam,430945,2018,15,15.2,.281,.419,.313,
Kinsler, Ian,435079,2018,14,12.0,.240,.380,.301,
Desmond, Ian,435622,2018,22,23.6,.236,.422,.307,
Cruz Jr., Nelson,443558,2018,37,20.6,.256,.509,.342,
Peralta, David,444482,2018,30,20.2,.293,.516,.352,
Escobar, Alcides,444876,2018,4,13.9,.231,.313,.275,
Jay, Jon,445055,2018,3,16.2,.268,.347,.328,
Longoria, Evan,446334,2018,16,19.7,.244,.413,.281,
Davis, Chris,448801,2018,16,36.8,.168,.296,.243,
Zobrist, Ben,450314,2018,9,11.5,.305,.440,.377,
Cabrera, Asdrubal,452678,2018,23,20.1,.262,.458,.316,
Blackmon, Charlie,453568,2018,29,19.3,.291,.502,.358,
Markakis, Nick,455976,2018,14,11.3,.297,.440,.366,
Nunez, Eduardo,456488,2018,10,13.7,.265,.388,.289,
Cain, Lorenzo,456715,2018,10,15.2,.308,.417,.395,
McCutchen, Andrew,457705,2018,20,21.3,.255,.424,.368,
Upton, Justin,457708,2018,30,28.7,.257,.463,.344,
Votto, Joey,458015,2018,12,16.2,.284,.419,.417,
Gardner, Brett,458731,2018,12,17.6,.236,.368,.320,
Gordon, Alex,460086,2018,13,21.8,.245,.370,.324,
Kemp, Matt,461314,2018,21,22.7,.290,.481,.338,
Santana, Carlos,467793,2018,24,13.7,.229,.414,.352,
Gonzalez, Carlos,471865,2018,16,22.4,.276,.467,.329,
Smoak, Justin,475253,2018,25,26.3,.242,.457,.350,
Lowrie, Jed,476704,2018,23,18.8,.267,.448,.353,
Gurriel, Yuli,493329,2018,13,11.0,.291,.428,.323,
Solarte, Yangervis,500208,2018,17,14.2,.226,.378,.277,
Rojas, Miguel,500743,2018,11,13.1,.252,.346,.295,
Escobar, Eduardo,500871,2018,23,20.0,.272,.489,.334,
Martinez, Jose,500874,2018,17,17.6,.305,.457,.363,
Davis, Khris,501981,2018,48,26.8,.247,.549,.326,
Pham, Tommy,502054,2018,21,24.6,.275,.464,.367,
Martinez, J.D.,502110,2018,43,22.5,.330,.629,.402,
Goldschmidt, Paul,502671,2018,33,25.1,.290,.533,.388,
Gonzalez, Marwin,503556,2018,16,22.8,.247,.409,.321,
Altuve, Jose,514888,2018,13,13.2,.316,.451,.384,
Hernandez, Cesar,514917,2018,15,21.9,.253,.362,.356,
Segura, Jean,516416,2018,10,10.9,.304,.415,.339,
Castro, Starlin,516770,2018,12,19.2,.278,.400,.329,
Marte, Starling,516782,2018,20,18.0,.277,.460,.327,
Dietrich, Derek,518618,2018,16,25.4,.265,.421,.330,
Freeman, Freddie,518692,2018,23,18.7,.309,.505,.388,
Grandal, Yasmani,518735,2018,24,23.9,.241,.466,.349,
LeMahieu, DJ,518934,2018,15,14.1,.276,.428,.320,
Moustakas, Mike,519058,2018,28,16.2,.251,.459,.315,
Rizzo, Anthony,519203,2018,25,12.0,.283,.470,.376,
Stanton, Giancarlo,519317,2018,38,29.9,.266,.509,.343,
Galvis, Freddy,520471,2018,13,22.4,.248,.380,.299,
Perez, Salvador,521692,2018,27,19.9,.235,.439,.274,
Inciarte, Ender,542255,2018,10,13.0,.265,.380,.323,
Ozuna, Marcell,542303,2018,23,17.5,.280,.433,.325,
Villar, Jonathan,542340,2018,14,26.8,.260,.384,.324,
Aguilar, Jesus,542583,2018,35,25.3,.274,.539,.352,
Crawford, Brandon,543063,2018,14,20.5,.254,.394,.325,
Cron, C.J.,543068,2018,30,25.9,.253,.493,.323,
Hicks, Aaron,543305,2018,27,19.1,.248,.467,.365,
Hosmer, Eric,543333,2018,18,21.0,.253,.398,.322,
Rendon, Anthony,543685,2018,24,13.7,.308,.535,.374,
Semien, Marcus,543760,2018,15,18.6,.255,.388,.317,
Shaw, Travis,543768,2018,32,18.4,.241,.480,.344,
Springer III, George,543807,2018,22,19.7,.265,.434,.344,
Strange-Gordon, Dee,543829,2018,4,13.6,.268,.349,.284,
Gregorius, Didi,544369,2018,27,12.1,.268,.494,.334,
Trout, Mike,545361,2018,39,20.4,.312,.628,.459,
Herrera, Odubel,546318,2018,22,20.4,.255,.420,.310,
Harper, Bryce,547180,2018,34,24.3,.249,.496,.393,
