last_name, first_name,player_id,year,barrel_batted_rate,whiff_percent,
Ortiz, David,120074,2016,15.5,19.2,
Beltre, Adrian,134181,2016,8.5,15.2,
Beltran, Carlos,136860,2016,6.8,19.6,
Werth, Jayson,150029,2016,7.4,20.9,
Martinez, Victor,400121,2016,8.4,17.2,
Utley, Chase,400284,2016,4.3,18.8,
Pujols, Albert,405395,2016,9.2,15.7,
Mauer, Joe,408045,2016,6,15.3,
Cabrera, Miguel,408234,2016,15.9,22.5,
Gonzalez, Adrian,408236,2016,4.6,22.9,
Phillips, Brandon,408252,2016,2.7,19,
Upton Jr., B.J.,425834,2016,5.8,34.6,
Molina, Yadier,425877,2016,3.6,15.2,
Cano, Robinson,429664,2016,7.3,17.3,
Encarnacion, Edwin,429665,2016,12.3,23.6,
Bautista, Jose,430832,2016,8.3,21.2,
Jones, Adam,430945,2016,8,26.1,
Martin, Russell,431145,2016,9.3,29.9,
Granderson, Curtis,434158,2016,6.9,22,
Pagan, Angel,434636,2016,3,11.6,
Ramirez, Hanley,434670,2016,10.4,23.9,
Morales, Kendrys,434778,2016,10.8,24,
Kendrick III, Howie,435062,2016,5.8,20.8,
Napoli, Mike,435063,2016,13.3,30.5,
Kinsler, Ian,435079,2016,3.8,15.9,
Desmond, Ian,435622,2016,7.5,27.4,
Cruz Jr., Nelson,443558,2016,16.5,29.1,
Trumbo, Mark,444432,2016,15.6,29.3,
Escobar, Alcides,444876,2016,1.4,20.5,
Prado, Martin,445988,2016,1.3,10.4,
Longoria, Evan,446334,2016,12.1,26.1,
Cozart, Zack,446359,2016,2.3,18.7,
Davis, Chris,448801,2016,15.1,36.9,
Zobrist, Ben,450314,2016,4.5,12.8,
Fowler, Dexter,451594,2016,5.6,21.9,
Headley, Chase,452104,2016,5.9,24.8,
Span, Denard,452655,2016,2.8,13.9,
Cabrera, Asdrubal,452678,2016,5.7,22.9,
Ellsbury, Jacoby,453056,2016,1.7,16.7,
Tulowitzki, Troy,453064,2016,9.6,20.8,
Blackmon, Charlie,453568,2016,6.8,16.9,
Frazier, Todd,453943,2016,10.1,28.3,
Markakis, Nick,455976,2016,4.9,12.8,
Pedroia, Dustin,456030,2016,2.5,12.2,
Nunez, Eduardo,456488,2016,4.4,16.9,
McCutchen, Andrew,457705,2016,8.5,25.5,
Upton, Justin,457708,2016,12.2,30.8,
Turner, Justin,457759,2016,8.8,18.5,
Posey III, Buster,457763,2016,6.9,14.1,
Espinosa, Danny,457787,2016,8.2,32.3,
Bruce, Jay,457803,2016,8.4,25.9,
Votto, Joey,458015,2016,9.7,18.5,
Gardner, Brett,458731,2016,2.4,15,
Saunders, Michael,459431,2016,7.7,29.1,
Braun, Ryan,460075,2016,8.4,20.9,
Gordon, Alex,460086,2016,8.7,29.4,
Kemp, Matt,461314,2016,11.1,29.4,
Andrus, Elvis,462101,2016,1.8,16.1,
Cabrera, Melky,466320,2016,2.1,14,
Ramos, Wilson,467092,2016,7.4,19.1,
Santana, Carlos,467793,2016,9.8,19.2,
Gonzalez, Carlos,471865,2016,8.6,30.7,
Mercer, Jordy,474568,2016,2.2,15,
Belt, Brandon,474832,2016,11.3,25.2,
Carter, Chris,474892,2016,17.6,38.4,
Alonso, Yonder,475174,2016,4.1,17.6,
Escobar, Yunel,488862,2016,2.8,16.6,
Cespedes, Yoenis,493316,2016,9.8,24.7,
Ramirez, Alexei,493351,2016,0.5,16.6,
Davis, Khris,501981,2016,17,33.9,
Martinez, J.D.,502110,2016,14.2,29.3,
Valencia, Danny,502143,2016,7.8,28.2,
Murphy, Daniel,502517,2016,8.5,12,
Goldschmidt, Paul,502671,2016,7.8,22.9,
Gonzalez, Marwin,503556,2016,5.4,25.4,
Altuve, Jose,514888,2016,6.9,15.3,
Hernandez, Cesar,514917,2016,1.8,19.8,
Segura, Jean,516416,2016,5.9,16.9,
Castro, Starlin,516770,2016,5.4,23.3,
Marte, Starling,516782,2016,5.4,25.4,
Donaldson, Josh,518626,2016,12.3,24.1,
Freeman, Freddie,518692,2016,13.2,29.5,
Heyward, Jason,518792,2016,3,17,
LeMahieu, DJ,518934,2016,4.9,11.6,
